ID,Responsable,Tema,Áreas involucradas,Acuerdos realizados,Acción a tomar,Fecha de atención,Estatus
ENLACE-001,Lic. C. Méndez,Compilación de acuerdos del Comité Directivo abril 2026,"Enlace Director, Tres subdirecciones","Minuta circulada y validada por las tres subdirecciones",Dar seguimiento semanal a compromisos pendientes,15/05/2026,En Proceso
ENLACE-002,Lic. C. Méndez,Agenda de Director General mayo 2026,"Enlace Director, Oficina del DG","Agenda confirmada con asistentes y materiales preparados",Coordinar logística de cada reunión,07/05/2026,En Proceso
ENLACE-003,Lic. C. Méndez,Reporte ejecutivo cierre de abril 2026,"Enlace Director, Tres subdirecciones","KPIs y pendientes consolidados de las tres subdirecciones",Presentar al Director Tavares en sesión semanal,30/04/2026,Atendida
ENLACE-,,,,,,,En Proceso
ENLACE-,,,,,,,En Proceso
ENLACE-,,,,,,,En Proceso
ENLACE-,,,,,,,En Proceso
ENLACE-,,,,,,,En Proceso
ENLACE-,,,,,,,En Proceso
ENLACE-,,,,,,,En Proceso
