ID,Responsable,Tema,Áreas involucradas,Acuerdos realizados,Acción a tomar,Fecha de atención,Estatus
SA-001,M. Hernández,Transferencia primaria expediente 2024 obras inducidas,"Subdirección de Archivo, Subdirección de Gestión de Obras Inducidas","Programa de transferencia con cronograma semanal y formato de inventario aprobado",Confirmar bodega de resguardo intermedio con Recursos Materiales,15/05/2026,En Proceso
SA-002,M. Hernández,Inventario bodega central abril 2026,Subdirección de Archivo,Inventario físico verificado contra HSC,Subir reporte de cierre y archivar,05/05/2026,Atendida
SA-003,P. Martínez,Solicitud de baja documental ejercicios 2018-2019,"Subdirección de Archivo, Coordinación Jurídica",Dictamen de valoración elaborado conforme LGA,Enviar dictamen a revisión jurídica,30/06/2026,En Proceso
SA-,,,,,,,En Proceso
SA-,,,,,,,En Proceso
SA-,,,,,,,En Proceso
SA-,,,,,,,En Proceso
SA-,,,,,,,En Proceso
SA-,,,,,,,En Proceso
SA-,,,,,,,En Proceso
