ID,Responsable,Tema,Áreas involucradas,Acuerdos realizados,Acción a tomar,Fecha de atención,Estatus
SGOI-001,J. López,Reubicación líneas CFE km 42+300 Tramo II Querétaro-Irapuato,"Subdirección de Gestión de Obras Inducidas, CFE, Coordinación Técnica","Convenio de coordinación firmado y proyecto ejecutivo aprobado",Liberar permisos municipales y ejecutar obra civil,30/06/2026,En Proceso
SGOI-002,R. Domínguez,Liberación derecho de vía Salinas Victoria NL,"Subdirección de Gestión de Obras Inducidas, Coordinación Jurídica, Municipio Salinas Victoria","Avalúos de SAGARPA y INDAABIN concluidos",Notificar a propietarios y firmar convenios de pago,30/05/2026,En Proceso
SGOI-006,A. Ortiz,Reporte mensual obras inducidas abril 2026,Subdirección de Gestión de Obras Inducidas,Indicadores cerrados al 30 de abril,Entregar al Director y publicar en sitio interno,07/05/2026,Atendida
SGOI-,,,,,,,En Proceso
SGOI-,,,,,,,En Proceso
SGOI-,,,,,,,En Proceso
SGOI-,,,,,,,En Proceso
SGOI-,,,,,,,En Proceso
SGOI-,,,,,,,En Proceso
SGOI-,,,,,,,En Proceso
